title,doi,arxiv_id,abstract_decision,fulltext_decision,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
MoDE: Effective Multi-task Parameter Efficient Fine-Tuning with a Mixture of Dyadic Experts,10.48550/arXiv.2408.01505,2408.01505,SKIP,DEFER,1,1,1,1,0,0
RILQ: Rank-Insensitive LoRA-based Quantization Error Compensation for Boosting 2-bit Large Language Model Accuracy,10.48550/arXiv.2412.01129,2412.01129,SKIP,DEFER,1,1,1,1,0,0
QEFT: Quantization for Efficient Fine-Tuning of LLMs,10.48550/arXiv.2410.08661,2410.08661,SKIP,DEFER,1,1,1,1,0,0
MoRE: A Mixture of Low-Rank Experts for Adaptive Multi-Task Learning,10.48550/arXiv.2505.22694,2505.22694,SKIP,DEFER,1,1,1,1,0,0
LoRA-Mixer: Coordinate Modular LoRA Experts Through Serial Attention Routing,10.48550/arXiv.2507.00029,2507.00029,SKIP,DEFER,1,1,1,1,0,0
BiDoRA: Bi-level Optimization-Based Weight-Decomposed Low-Rank Adaptation,10.48550/arXiv.2410.09758,2410.09758,SKIP,DEFER,1,1,1,1,0,0
Pruning Adatperfusion with Lottery Ticket Hypothesis,10.18653/v1/2022.findings-naacl.123,,SKIP,DEFER,1,1,1,1,0,0
Not All Directions Matter: Toward Structured and Task-Aware Low-Rank Adaptation,,2603.14228,SKIP,DEFER,1,1,1,1,0,0
Activated LoRA: Fine-tuned LLMs for Intrinsics,10.48550/arXiv.2504.12397,2504.12397,SKIP,DEFER,1,1,1,1,0,0
On the Duality between Gradient Transformations and Adapters,10.48550/arXiv.2502.13811,2502.13811,SKIP,DEFER,1,1,1,1,0,0
AdapterShare: Task Correlation Modeling with Adapter Differentiation,10.18653/v1/2022.emnlp-main.728,,SKIP,DEFER,1,1,1,1,0,0
MSHLoRA: A multi-stage multi-scale diverse adapter framework for efficient expert-level adaptation of large language models,10.1016/j.eswa.2026.132391,,SKIP,DEFER,1,1,1,1,0,0
LoRA-E2: Effective and Efficient Low-rank Adaptation,10.1145/3774904.3792500,,SKIP,DEFER,1,1,1,1,0,0
An Empirical Study of Parameter-Efficient Fine-Tuning in Code Change Learning and Beyond,10.1109/TSE.2025.3637335,,SKIP,DEFER,1,1,1,1,0,0
DyMoE: Dynamic Mixture of Experts for Parameter-Efficient Fine-Tuning in Low-Resource Languages,10.1109/SSITCON66133.2025.11342018,,SKIP,DEFER,1,1,1,1,0,0
Parameter-Efficient Fine-Tuning Methods for Multilingual Named Entity Recognition,10.1109/CISAT66811.2025.11181790,,SKIP,DEFER,1,1,1,1,0,0
RaLo: Rank-aware low-rank adaptation for pre-trained foundation models,10.1016/j.neunet.2025.108423,,SKIP,DEFER,1,1,1,1,0,0
MAdaKron: A mixture-of-AdaKron adapters,10.1016/j.knosys.2025.115086,,SKIP,DEFER,1,1,1,1,0,0
LoRA-PIM: In-Memory Delta-Weight Injection for Multi-Adapter LLM Serving,10.1109/ISOCC66390.2025.11329773,,SKIP,DEFER,1,1,1,1,0,0
GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,,,SKIP,DEFER,1,1,1,1,0,0
GLaM: Efficient Scaling of Language Models with Mixture-of-Experts,,,SKIP,DEFER,1,1,1,1,0,0
Mixture-of-Experts with Expert Choice Routing,10.52202/068431-0515,,SKIP,DEFER,1,1,1,1,0,0
SGLang: Efficient Execution of Structured Language Model Programs,10.52202/079017-2000,,SKIP,DEFER,1,1,1,1,0,0
Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve,10.48550/arXiv.2403.02310,2403.02310,SKIP,DEFER,1,1,1,1,0,0
Stochastic Gradient Push for Distributed Deep Learning,,,SKIP,DEFER,1,1,1,1,0,0
D2: Decentralized Training over Decentralized Data,,,SKIP,DEFER,1,1,1,1,0,0
ST-MoE: Designing Stable and Transferable Sparse Expert Models,,,SKIP,DEFER,1,1,1,1,0,0
PromptFL: Let Federated Participants Cooperatively Learn Prompts Instead of Models – Federated Learning in Age of Foundation Model,10.1109/TMC.2023.3302410,,SKIP,DEFER,1,1,1,1,0,0
A Review of Sparse Expert Models in Deep Learning,10.48550/arXiv.2209.01667,2209.01667,SKIP,DEFER,1,1,1,1,0,0
OpenMoE: An Early Effort on Open Mixture-of-Experts Language Models,10.48550/arXiv.2402.01739,2402.01739,SKIP,DEFER,1,1,1,1,0,0
Decentralized learning works: An empirical comparison of gossip learning and federated learning,10.1016/j.jpdc.2020.10.006,,SKIP,DEFER,1,1,1,1,0,0
CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving,10.1145/3651890.3672274,,SKIP,DEFER,1,1,1,1,0,0
GossipFL: A Decentralized Federated Learning Framework With Sparsified and Adaptive Communication,10.1109/TPDS.2022.3230938,,SKIP,DEFER,1,1,1,1,0,0
Flora: Low-Rank Adapters Are Secretly Gradient Compressors,10.48550/arXiv.2402.03293,2402.03293,SKIP,DEFER,1,1,1,1,0,0
Soft Merging of Experts with Adaptive Routing,10.48550/arXiv.2306.03745,2306.03745,SKIP,DEFER,1,1,1,1,0,0
Scaling Federated Learning for Fine-tuning of Large Language Models,10.1007/978-3-030-80599-9_2,,SKIP,DEFER,1,1,1,1,0,0
FedNLP: A Research Platform for Federated Learning in Natural Language Processing,,,SKIP,DEFER,1,1,1,1,0,0
Preble: Efficient Distributed Prompt Scheduling for LLM Serving,10.48550/arXiv.2407.00023,2407.00023,SKIP,DEFER,1,1,1,1,0,0
BAD-X: Bilingual Adapters Improve Zero-Shot Cross-Lingual Transfer,10.18653/v1/2022.naacl-main.130,,SKIP,DEFER,1,1,1,1,0,0
Demons in the Detail: On Implementing Load Balancing Loss for Training Specialized Mixture-of-Expert Models,10.48550/arXiv.2501.11873,2501.11873,SKIP,DEFER,1,1,1,1,0,0
Federated pretraining and fine tuning of BERT using clinical notes from multiple silos,,,SKIP,DEFER,1,1,1,1,0,0
Learning to Generate Task-Specific Adapters from Task Description,10.18653/v1/2021.acl-short.82,,SKIP,DEFER,1,1,1,1,0,0
PetS: A Unified Framework for Parameter-Efficient Transformers Serving,,,SKIP,DEFER,1,1,1,1,0,0
Rehearsal-Free Modular and Compositional Continual Learning for Language Models,10.48550/arXiv.2404.00790,2404.00790,SKIP,DEFER,1,1,1,1,0,0
Sparse Structure Search for Delta Tuning,10.52202/068431-0716,,SKIP,DEFER,1,1,1,1,0,0
Federated Split BERT for Heterogeneous Text Classification,10.1109/IJCNN55064.2022.9892845,,SKIP,DEFER,1,1,1,1,0,0
Federated Large Language Models: Current Progress and Future Directions,10.48550/arXiv.2409.15723,2409.15723,SKIP,DEFER,1,1,1,1,0,0
HyperRouter: Towards Efficient Training and Inference of Sparse Mixture of Experts,10.18653/v1/2023.emnlp-main.351,,SKIP,DEFER,1,1,1,1,0,0
Federated LoRA with Sparse Communication,10.48550/arXiv.2406.05233,2406.05233,SKIP,DEFER,1,1,1,1,0,0
Implicit model specialization through dag-based decentralized federated learning,10.1145/3464298.3493403,,SKIP,DEFER,1,1,1,1,0,0
Tangle Ledger for Decentralized Learning,10.1109/IPDPSW50202.2020.00144,,SKIP,DEFER,1,1,1,1,0,0
BlitzScale: Fast and Live Large Model Autoscaling with O(1) Host Caching,,,SKIP,DEFER,1,1,1,1,0,0
EPIC: Efficient Position-Independent Caching for Serving Large Language Models,,,SKIP,DEFER,1,1,1,1,0,0
Exploring Parameter-Efficient Fine-Tuning to Enable Foundation Models in Federated Learning,10.1109/BigData62323.2024.10825712,,SKIP,DEFER,1,1,1,1,0,0
Cross-Lingual Transfer with Target Language-Ready Task Adapters,10.48550/arXiv.2306.02767,2306.02767,SKIP,DEFER,1,1,1,1,0,0
Totoro: A Scalable Federated Learning Engine for the Edge,10.1145/3627703.3629575,,SKIP,DEFER,1,1,1,1,0,0
Robust Federated Finetuning of Foundation Models via Alternating Minimization of LoRA,10.48550/arXiv.2409.02346,2409.02346,SKIP,DEFER,1,1,1,1,0,0
Beyond Zero Initialization: Investigating the Impact of Non-Zero Initialization on LoRA Fine-Tuning Dynamics,10.48550/arXiv.2505.23194,2505.23194,SKIP,DEFER,1,1,1,1,0,0
Fed-SB: A Silver Bullet for Extreme Communication Efficiency and Performance in (Private) Federated LoRA Fine-Tuning,10.48550/arXiv.2502.15436,2502.15436,SKIP,DEFER,1,1,1,1,0,0
